User Name,Sex,Comments,Likes,Replies
scretbase,保密,"《黑神话悟空》——主创
翻过那座山，前方是爬不完的峰峦
趟过那条河，身上是拧不干的冷汗
蟠桃宴的座次与你无关
生死簿的名字涂抹增删
命运的绝句从不押韵
英雄的结局大多平淡，偶尔不堪
意料之外的金刚琢，永不回岸的无底船
每个传奇的故事里，都没有白给的仙丹
祝福所有的泪与伤，血与汗，梦想与苦难
唯愿你认真享受每一场战斗
肆无忌惮的格挡、闪避、变化、呼喊
用尽全部运气与勇敢
饱尝一切荣辱与悲欢",18233,"刚翻过了几座山
又越过了几条河
崎岖坎坷怎么他就这么多
（俺老孙去也——哎！）
去你个山更险来水更恶
难也遇过
苦也吃过
走出个通天大道
宽又阔——！！！"
尘梦舟,男,"以前小的时候会一直让爷爷帮我砍后院的竹子，挥舞竹棒，幻想着自己也可以称为齐天大圣，棒下无敌手。
大了一点，看过了很多动漫，电视作品，印象最深的还是《星游记》，麦当就像一只小猴子，有几分悟空的影子。看过雄兵连，看过大圣归来，可以说每个少年的梦里或多或少都出现过孙悟空的影子。
自己有段时期，可以说是迷恋了《悟空传》，看了《西游日记》，也在那段时间第一次看到了斗战神的CG，斗战神没玩过，但是CG看完了，只能说幼小的心灵确实深受震撼。
现在的《黑神话·悟空》就像一颗从无而有的明星，又一次擦亮了儿时的梦。
从今天开始存钱，一天一块",7812,我爷爷是木匠，我小时候专门给我做了一根带油彩的金箍棒，天天拿着棍子出去跑风。前天搬家拆桌子，拆下来一根桌腿，拿在手里不自觉地耍花棍，耍了几圈怔住了…
吃Bagel的莫扎特,男,全世界的素材库里面的中国文化相关的模型动画素材加在一起，应该都没有这个游戏几个宣传片里面的多，个人或者小团队想开发一个发生在我们自己脚下的独立游戏，算算建模动画，就不敢做了，从美术这个方面来说，不管怎么样，这个游戏已经成功了。,63112,对，之前看到一位视频主分享游戏科学的采访和演讲梳理，里面有提到中式素材，游科说他们在游戏发售后会考虑把素材分享出来。
吃Bagel的莫扎特,男,全世界的素材库里面的中国文化相关的模型动画素材加在一起，应该都没有这个游戏几个宣传片里面的多，个人或者小团队想开发一个发生在我们自己脚下的独立游戏，算算建模动画，就不敢做了，从美术这个方面来说，不管怎么样，这个游戏已经成功了。,63112,回复 @百八真珠 :非常感谢分享，但是分享出来也就是完成了一小部分，你能想象中国现代街景建筑的地图素材都找不到吗？现在就是这样[热词系列_哇酷哇酷]
星尘碎影,男,最大的愿望，是黑神话能够成为中国单机新的开端而不是巅峰，不管成功与否也能后继有人，迎来国内游戏领域新时代。,50111,应该会是的，我感觉猴哥在“艺术”领域经常是当开端先锋的那个，西游记、大闹天宫、大圣归来、黑神话。
星尘碎影,男,最大的愿望，是黑神话能够成为中国单机新的开端而不是巅峰，不管成功与否也能后继有人，迎来国内游戏领域新时代。,50111,"黑神话游戏里的流浪地球[脱单doge]
我最喜欢郭导一句话:活下去，只要活下去就会有第二部第三部"
星尘碎影,男,最大的愿望，是黑神话能够成为中国单机新的开端而不是巅峰，不管成功与否也能后继有人，迎来国内游戏领域新时代。,50111,回复 @屑小枫 :希望黑神话活下去这样就会有第二部第三部[笑哭]
英伟达GeForce,保密,2024.8.20，直面天命。PC 版将支持光线追踪与 DLSS 3[打call],37864,来抽张显卡
英伟达GeForce,保密,2024.8.20，直面天命。PC 版将支持光线追踪与 DLSS 3[打call],37864,支援我个4090玩黑神话[吃瓜]
英伟达GeForce,保密,2024.8.20，直面天命。PC 版将支持光线追踪与 DLSS 3[打call],37864,在？你那里今年还有无藏货，别藏了，快端上来罢[doge][doge]
丶葵花籽,保密,艺术价值太高了，不管玩法如何就这中式美学值得我买一份典藏。,28202,就爱这种文化遗产的数字展现
